User ID,Top 1 Destination,Top 2 Destination,Top 3 Destination,Top 4 Destination,Top 5 Destination
88,Ambalangoda,Elephant Point Beach,Council Chamber,Ambuluwawa Biodiversity Complex,Dimbulana hills Spot
89,Ambalangoda,Elephant Point Beach,Council Chamber,Ambuluwawa Biodiversity Complex,Dimbulana hills Spot
90,Ambalangoda,Elephant Point Beach,Council Chamber,Ambuluwawa Biodiversity Complex,Dimbulana hills Spot
91,Ambalangoda,Elephant Point Beach,Council Chamber,Ambuluwawa Biodiversity Complex,Dimbulana hills Spot
92,Ambalangoda,Elephant Point Beach,Council Chamber,Ambuluwawa Biodiversity Complex,Dimbulana hills Spot
93,Ambalangoda,Elephant Point Beach,Council Chamber,Ambuluwawa Biodiversity Complex,Dimbulana hills Spot
94,Ambalangoda,Elephant Point Beach,Council Chamber,Ambuluwawa Biodiversity Complex,Dimbulana hills Spot
95,Ambalangoda,Elephant Point Beach,Council Chamber,Ambuluwawa Biodiversity Complex,Dimbulana hills Spot
96,Ambalangoda,Elephant Point Beach,Council Chamber,Ambuluwawa Biodiversity Complex,Dimbulana hills Spot
97,Ambalangoda,Elephant Point Beach,Council Chamber,Ambuluwawa Biodiversity Complex,Dimbulana hills Spot
98,Ambalangoda,Elephant Point Beach,Council Chamber,Ambuluwawa Biodiversity Complex,Dimbulana hills Spot
99,Ambalangoda,Elephant Point Beach,Council Chamber,Ambuluwawa Biodiversity Complex,Dimbulana hills Spot
100,Ambalangoda,Elephant Point Beach,Council Chamber,Ambuluwawa Biodiversity Complex,Dimbulana hills Spot
101,Ambalangoda,Elephant Point Beach,Council Chamber,Ambuluwawa Biodiversity Complex,Dimbulana hills Spot
102,Aanda Ella Fall,riapla Mask Museum,- Parewi Duwa Temple,Batticaloa Gate |,Ahungalla
103,Ambalangoda,Elephant Point Beach,Council Chamber,Ambuluwawa Biodiversity Complex,Dimbulana hills Spot
104,Ambalangoda,Elephant Point Beach,Council Chamber,Ambuluwawa Biodiversity Complex,Dimbulana hills Spot
105,Ambalangoda,Elephant Point Beach,Council Chamber,Ambuluwawa Biodiversity Complex,Dimbulana hills Spot
106,Ambalangoda,Elephant Point Beach,Council Chamber,Ambuluwawa Biodiversity Complex,Dimbulana hills Spot
107,Ambalangoda,Elephant Point Beach,Council Chamber,Ambuluwawa Biodiversity Complex,Dimbulana hills Spot
108,Ambalangoda,Elephant Point Beach,Council Chamber,Ambuluwawa Biodiversity Complex,Dimbulana hills Spot
109,Ambalangoda,Elephant Point Beach,Council Chamber,Ambuluwawa Biodiversity Complex,Dimbulana hills Spot
110,Ambalangoda,Elephant Point Beach,Council Chamber,Dimbulana hills Spot,Ambuluwawa Biodiversity Complex
111,Aanda Ella Fall,Elephant Point Beach,Council Chamber,Ambalangoda,"All Saints' Church, Galle - Church of Ceylon"
112,Ambalangoda,Elephant Point Beach,Council Chamber,Dimbulana hills Spot,Ambuluwawa Biodiversity Complex
113,Ambalangoda,Elephant Point Beach,Council Chamber,Ambuluwawa Biodiversity Complex,Dimbulana hills Spot
114,Ambalangoda,Elephant Point Beach,Council Chamber,Ambuluwawa Biodiversity Complex,Dimbulana hills Spot
115,Ambalangoda,Elephant Point Beach,Council Chamber,Ambuluwawa Biodiversity Complex,Dimbulana hills Spot
116,Ambalangoda,Elephant Point Beach,Council Chamber,Ambuluwawa Biodiversity Complex,Dimbulana hills Spot
117,Ambalangoda,Elephant Point Beach,Council Chamber,Ambuluwawa Biodiversity Complex,Dimbulana hills Spot
118,Aanda Ella Fall,Elephant Point Beach,Ambalangoda,Council Chamber,"All Saints' Church, Galle - Church of Ceylon"
119,Ambalangoda,Elephant Point Beach,Council Chamber,Ambuluwawa Biodiversity Complex,Dimbulana hills Spot
120,Aanda Ella Fall,Elephant Point Beach,Council Chamber,Ambalangoda,"All Saints' Church, Galle - Church of Ceylon"
121,Aanda Ella Fall,Council Chamber,Elephant Point Beach,riapla Mask Museum,Ambalangoda
122,Ambalangoda,Elephant Point Beach,Council Chamber,Dimbulana hills Spot,Ambuluwawa Biodiversity Complex
123,Ambalangoda,Elephant Point Beach,Council Chamber,Ambuluwawa Biodiversity Complex,Dimbulana hills Spot
124,Ambalangoda,Elephant Point Beach,Council Chamber,Ambuluwawa Biodiversity Complex,Dimbulana hills Spot
125,Aanda Ella Fall,Council Chamber,Elephant Point Beach,Ambalangoda,"All Saints' Church, Galle - Church of Ceylon"
126,Ambalangoda,Elephant Point Beach,Council Chamber,Ambuluwawa Biodiversity Complex,Dimbulana hills Spot
127,Ambalangoda,Elephant Point Beach,Council Chamber,Ambuluwawa Biodiversity Complex,Dimbulana hills Spot
128,Ambalangoda,Elephant Point Beach,Council Chamber,Ambuluwawa Biodiversity Complex,Dimbulana hills Spot
129,Ambalangoda,Elephant Point Beach,Council Chamber,Ambuluwawa Biodiversity Complex,Dimbulana hills Spot
130,Ambalangoda,Elephant Point Beach,Council Chamber,Ambuluwawa Biodiversity Complex,Dimbulana hills Spot
131,Ambalangoda,Elephant Point Beach,Council Chamber,Ambuluwawa Biodiversity Complex,Dimbulana hills Spot
132,Ambalangoda,Elephant Point Beach,Council Chamber,Ambuluwawa Biodiversity Complex,Dimbulana hills Spot
133,Ambalangoda,Elephant Point Beach,Council Chamber,Ambuluwawa Biodiversity Complex,Dimbulana hills Spot
134,Ambalangoda,Elephant Point Beach,Council Chamber,Dimbulana hills Spot,Aanda Ella Fall
135,Ambalangoda,Elephant Point Beach,Council Chamber,Ambuluwawa Biodiversity Complex,Dimbulana hills Spot
136,Ambalangoda,Elephant Point Beach,Council Chamber,Ambuluwawa Biodiversity Complex,Dimbulana hills Spot
137,Ambalangoda,Elephant Point Beach,Council Chamber,Ambuluwawa Biodiversity Complex,Dimbulana hills Spot
138,Ambalangoda,Elephant Point Beach,Council Chamber,Ambuluwawa Biodiversity Complex,Dimbulana hills Spot
139,Ambalangoda,Elephant Point Beach,Council Chamber,Ambuluwawa Biodiversity Complex,Dimbulana hills Spot
140,Aanda Ella Fall,- Parewi Duwa Temple,riapla Mask Museum,Batticaloa Gate |,Ahungalla
141,Ambalangoda,Elephant Point Beach,Council Chamber,Aanda Ella Fall,Dimbulana hills Spot
142,Aanda Ella Fall,riapla Mask Museum,- Parewi Duwa Temple,Batticaloa Gate |,Ahungalla
143,Ambalangoda,Elephant Point Beach,Council Chamber,Ambuluwawa Biodiversity Complex,Dimbulana hills Spot
144,Aanda Ella Fall,Council Chamber,Elephant Point Beach,Ambalangoda,"All Saints' Church, Galle - Church of Ceylon"
145,Ambalangoda,Elephant Point Beach,Council Chamber,Ambuluwawa Biodiversity Complex,Dimbulana hills Spot
146,Ambalangoda,Elephant Point Beach,Council Chamber,Ambuluwawa Biodiversity Complex,Dimbulana hills Spot
147,Ambalangoda,Elephant Point Beach,Council Chamber,Ambuluwawa Biodiversity Complex,Dimbulana hills Spot
148,Ambalangoda,Elephant Point Beach,Council Chamber,Ambuluwawa Biodiversity Complex,Dimbulana hills Spot
149,Ambalangoda,Elephant Point Beach,Council Chamber,Dimbulana hills Spot,Ambuluwawa Biodiversity Complex
150,Ambalangoda,Elephant Point Beach,Council Chamber,Aanda Ella Fall,Dimbulana hills Spot
151,Ambalangoda,Elephant Point Beach,Council Chamber,Ambuluwawa Biodiversity Complex,Dimbulana hills Spot
152,Ambalangoda,Elephant Point Beach,Council Chamber,Ambuluwawa Biodiversity Complex,Dimbulana hills Spot
153,Aanda Ella Fall,Elephant Point Beach,Council Chamber,Ambalangoda,"All Saints' Church, Galle - Church of Ceylon"
154,Ambalangoda,Elephant Point Beach,Council Chamber,Ambuluwawa Biodiversity Complex,Dimbulana hills Spot
155,Ambalangoda,Elephant Point Beach,Council Chamber,Ambuluwawa Biodiversity Complex,Dimbulana hills Spot
156,Ambalangoda,Elephant Point Beach,Council Chamber,Ambuluwawa Biodiversity Complex,Dimbulana hills Spot
157,Aanda Ella Fall,- Parewi Duwa Temple,riapla Mask Museum,Batticaloa Gate |,Boat Trip Kalpitiya | Dolphin Watching
158,Ambalangoda,Elephant Point Beach,Council Chamber,Ambuluwawa Biodiversity Complex,Dimbulana hills Spot
159,Ambalangoda,Elephant Point Beach,Council Chamber,Ambuluwawa Biodiversity Complex,Dimbulana hills Spot
160,Aanda Ella Fall,Elephant Point Beach,Council Chamber,Ambalangoda,"All Saints' Church, Galle - Church of Ceylon"
161,Ambalangoda,Elephant Point Beach,Council Chamber,Ambuluwawa Biodiversity Complex,Dimbulana hills Spot
162,Ambalangoda,Elephant Point Beach,Council Chamber,Ambuluwawa Biodiversity Complex,Dimbulana hills Spot
163,Ambalangoda,Elephant Point Beach,Council Chamber,Ambuluwawa Biodiversity Complex,Dimbulana hills Spot
164,Ambalangoda,Elephant Point Beach,Council Chamber,Ambuluwawa Biodiversity Complex,Dimbulana hills Spot
165,Ambalangoda,Elephant Point Beach,Council Chamber,Ambuluwawa Biodiversity Complex,Dimbulana hills Spot
166,Ambalangoda,Elephant Point Beach,Council Chamber,Ambuluwawa Biodiversity Complex,Dimbulana hills Spot
167,Ambalangoda,Elephant Point Beach,Council Chamber,Ambuluwawa Biodiversity Complex,Dimbulana hills Spot
168,Ambalangoda,Ambuluwawa Biodiversity Complex,Elephant Point Beach,Council Chamber,Dimbulana hills Spot
169,Ambalangoda,Elephant Point Beach,Council Chamber,Ambuluwawa Biodiversity Complex,Dimbulana hills Spot
170,Ambalangoda,Elephant Point Beach,Council Chamber,Dimbulana hills Spot,Aanda Ella Fall
171,Ambalangoda,Elephant Point Beach,Council Chamber,Ambuluwawa Biodiversity Complex,Dimbulana hills Spot
172,Ambalangoda,Elephant Point Beach,Council Chamber,Ambuluwawa Biodiversity Complex,Dimbulana hills Spot
173,Aanda Ella Fall,Elephant Point Beach,Council Chamber,Ambalangoda,"All Saints' Church, Galle - Church of Ceylon"
174,Ambalangoda,Elephant Point Beach,Council Chamber,Ambuluwawa Biodiversity Complex,Dimbulana hills Spot
175,Ambalangoda,Elephant Point Beach,Council Chamber,Ambuluwawa Biodiversity Complex,Dimbulana hills Spot
176,Aanda Ella Fall,- Parewi Duwa Temple,riapla Mask Museum,Boat Trip Kalpitiya | Dolphin Watching,Batticaloa Gate |
177,Ambalangoda,Elephant Point Beach,Council Chamber,Ambuluwawa Biodiversity Complex,Dimbulana hills Spot
178,Ambalangoda,Elephant Point Beach,Council Chamber,Ambuluwawa Biodiversity Complex,Dimbulana hills Spot
179,Ambalangoda,Elephant Point Beach,Council Chamber,Ambuluwawa Biodiversity Complex,Dimbulana hills Spot
180,Ambalangoda,Elephant Point Beach,Council Chamber,Ambuluwawa Biodiversity Complex,Dimbulana hills Spot
181,Ambalangoda,Elephant Point Beach,Council Chamber,Ambuluwawa Biodiversity Complex,Dimbulana hills Spot
182,Ambalangoda,Elephant Point Beach,Council Chamber,Ambuluwawa Biodiversity Complex,Dimbulana hills Spot
183,Ambalangoda,Elephant Point Beach,Council Chamber,Aanda Ella Fall,Dimbulana hills Spot
184,Ambalangoda,Elephant Point Beach,Council Chamber,Ambuluwawa Biodiversity Complex,Dimbulana hills Spot
185,Ambalangoda,Elephant Point Beach,Council Chamber,Ambuluwawa Biodiversity Complex,Dimbulana hills Spot
186,Ambalangoda,Elephant Point Beach,Council Chamber,Ambuluwawa Biodiversity Complex,Dimbulana hills Spot
187,Ambalangoda,Elephant Point Beach,Council Chamber,Ambuluwawa Biodiversity Complex,Dimbulana hills Spot
188,Ambalangoda,Elephant Point Beach,Council Chamber,Ambuluwawa Biodiversity Complex,Dimbulana hills Spot
189,Ambalangoda,Elephant Point Beach,Council Chamber,Ambuluwawa Biodiversity Complex,Dimbulana hills Spot
190,Ambalangoda,Elephant Point Beach,Council Chamber,Dimbulana hills Spot,Ambuluwawa Biodiversity Complex
191,Aanda Ella Fall,riapla Mask Museum,- Parewi Duwa Temple,Batticaloa Gate |,Ahungalla
192,Ambalangoda,Elephant Point Beach,Ambuluwawa Biodiversity Complex,Council Chamber,Dimbulana hills Spot
193,Ambalangoda,Elephant Point Beach,Council Chamber,Ambuluwawa Biodiversity Complex,Dimbulana hills Spot
194,Ambalangoda,Elephant Point Beach,Council Chamber,Aanda Ella Fall,Dimbulana hills Spot
195,Ambalangoda,Elephant Point Beach,Council Chamber,Ambuluwawa Biodiversity Complex,Dimbulana hills Spot
196,Ambalangoda,Elephant Point Beach,Council Chamber,Ambuluwawa Biodiversity Complex,Dimbulana hills Spot
197,Ambalangoda,Elephant Point Beach,Council Chamber,Ambuluwawa Biodiversity Complex,Dimbulana hills Spot
198,Ambalangoda,Elephant Point Beach,Council Chamber,Ambuluwawa Biodiversity Complex,Dimbulana hills Spot
199,Ambalangoda,Elephant Point Beach,Council Chamber,Dimbulana hills Spot,Aanda Ella Fall
200,Ambalangoda,Elephant Point Beach,Council Chamber,Ambuluwawa Biodiversity Complex,Dimbulana hills Spot
201,Ambalangoda,Elephant Point Beach,Council Chamber,Ambuluwawa Biodiversity Complex,Dimbulana hills Spot
202,Ambalangoda,Elephant Point Beach,Council Chamber,Aanda Ella Fall,Dimbulana hills Spot
203,Ambalangoda,Elephant Point Beach,Council Chamber,Ambuluwawa Biodiversity Complex,Dimbulana hills Spot
204,Ambalangoda,Elephant Point Beach,Council Chamber,Dimbulana hills Spot,Ambuluwawa Biodiversity Complex
205,Ambalangoda,Elephant Point Beach,Council Chamber,Ambuluwawa Biodiversity Complex,Dimbulana hills Spot
206,Ambalangoda,Elephant Point Beach,Council Chamber,Ambuluwawa Biodiversity Complex,Dimbulana hills Spot
207,Ambalangoda,Elephant Point Beach,Council Chamber,Aanda Ella Fall,Dimbulana hills Spot
208,Hatadage,Hatale Mini World's End,Boat Trip Kalpitiya | Dolphin Watching,Hikkaduwa,- Parewi Duwa Temple
209,Ambalangoda,Elephant Point Beach,Council Chamber,Ambuluwawa Biodiversity Complex,Dimbulana hills Spot
210,Aanda Ella Fall,Council Chamber,Elephant Point Beach,Ambalangoda,"All Saints' Church, Galle - Church of Ceylon"
211,Aanda Ella Fall,Council Chamber,Elephant Point Beach,riapla Mask Museum,Batticaloa Gate |
212,Ambalangoda,Elephant Point Beach,Council Chamber,Ambuluwawa Biodiversity Complex,Dimbulana hills Spot
213,Ambalangoda,Elephant Point Beach,Council Chamber,Ambuluwawa Biodiversity Complex,Dimbulana hills Spot
214,Ambalangoda,Elephant Point Beach,Council Chamber,Ambuluwawa Biodiversity Complex,Dimbulana hills Spot
215,Ambalangoda,Elephant Point Beach,Council Chamber,Ambuluwawa Biodiversity Complex,Dimbulana hills Spot
216,Ambalangoda,Elephant Point Beach,Council Chamber,Ambuluwawa Biodiversity Complex,Dimbulana hills Spot
217,Ambalangoda,Elephant Point Beach,Council Chamber,Ambuluwawa Biodiversity Complex,Dimbulana hills Spot
218,Ambalangoda,Elephant Point Beach,Council Chamber,Ambuluwawa Biodiversity Complex,Dimbulana hills Spot
219,Ambalangoda,Elephant Point Beach,Council Chamber,Ambuluwawa Biodiversity Complex,Dimbulana hills Spot
220,Ambalangoda,Elephant Point Beach,Council Chamber,Aanda Ella Fall,Dimbulana hills Spot
221,Ambalangoda,Elephant Point Beach,Council Chamber,Ambuluwawa Biodiversity Complex,Dimbulana hills Spot
222,Ambalangoda,Elephant Point Beach,Council Chamber,Ambuluwawa Biodiversity Complex,Dimbulana hills Spot
223,Ambalangoda,Elephant Point Beach,Council Chamber,Ambuluwawa Biodiversity Complex,Dimbulana hills Spot
224,Ambalangoda,Elephant Point Beach,Council Chamber,Ambuluwawa Biodiversity Complex,Dimbulana hills Spot
225,Ambalangoda,Elephant Point Beach,Council Chamber,Aanda Ella Fall,Dimbulana hills Spot
226,Ambalangoda,Elephant Point Beach,Council Chamber,Ambuluwawa Biodiversity Complex,Dimbulana hills Spot
227,Ambalangoda,Elephant Point Beach,Council Chamber,Ambuluwawa Biodiversity Complex,Dimbulana hills Spot
228,Ambalangoda,Elephant Point Beach,Council Chamber,Ambuluwawa Biodiversity Complex,Dimbulana hills Spot
229,Ambalangoda,Elephant Point Beach,Council Chamber,Ambuluwawa Biodiversity Complex,Dimbulana hills Spot
230,Ambalangoda,Elephant Point Beach,Council Chamber,Ambuluwawa Biodiversity Complex,Dimbulana hills Spot
231,Ambalangoda,Elephant Point Beach,Council Chamber,Dimbulana hills Spot,Ambuluwawa Biodiversity Complex
232,Ambalangoda,Elephant Point Beach,Council Chamber,Ambuluwawa Biodiversity Complex,Dimbulana hills Spot
233,Ambalangoda,Elephant Point Beach,Council Chamber,Ambuluwawa Biodiversity Complex,Dimbulana hills Spot
234,Ambalangoda,Elephant Point Beach,Council Chamber,Ambuluwawa Biodiversity Complex,Dimbulana hills Spot
235,Ambalangoda,Elephant Point Beach,Council Chamber,Ambuluwawa Biodiversity Complex,Dimbulana hills Spot
236,Ambalangoda,Elephant Point Beach,Council Chamber,Ambuluwawa Biodiversity Complex,Dimbulana hills Spot
237,Ambalangoda,Elephant Point Beach,Council Chamber,Ambuluwawa Biodiversity Complex,Dimbulana hills Spot
238,Ambalangoda,Elephant Point Beach,Council Chamber,Ambuluwawa Biodiversity Complex,Dimbulana hills Spot
239,Ambalangoda,Elephant Point Beach,Council Chamber,Ambuluwawa Biodiversity Complex,Dimbulana hills Spot
240,Ambalangoda,Elephant Point Beach,Council Chamber,Ambuluwawa Biodiversity Complex,Dimbulana hills Spot
241,Ambalangoda,Elephant Point Beach,Council Chamber,Ambuluwawa Biodiversity Complex,Dimbulana hills Spot
242,Ambalangoda,Elephant Point Beach,Council Chamber,Ambuluwawa Biodiversity Complex,Dimbulana hills Spot
243,Ambalangoda,Elephant Point Beach,Council Chamber,Ambuluwawa Biodiversity Complex,Dimbulana hills Spot
244,Ambalangoda,Elephant Point Beach,Ambuluwawa Biodiversity Complex,Council Chamber,Dimbulana hills Spot
245,Ambalangoda,Elephant Point Beach,Council Chamber,Dimbulana hills Spot,Ambuluwawa Biodiversity Complex
246,Ambalangoda,Elephant Point Beach,Council Chamber,Ambuluwawa Biodiversity Complex,Dimbulana hills Spot
