User ID,Rec_1,Rec_2,Rec_3,Rec_4,Rec_5
150,art gallery national of,art centre lionel wendt,arts centre nelung,kandy,galle
151,golden mountain narangala,mirissa,knuckles,harbour trincomalee,beach okanda
152,galle,church dutch matara reformed,ambalangoda,uppuveli,bird tower watching
153,beach kalpitiya kudawa,beach nilaveli,beach hambantota,beach kiranchi,beach sayansi
154,anuradhapura,galle,arana sandaraja wana,centre cultural kandyan,ancient city polonnaruwa
155,ambalangoda,arts crafts sunflower,point turtle watching,and centre conservation hasselblad research sea turtle victor,jana kala kendraya
156,arts crafts sunflower,ambalangoda,polonnaruwa,jana kala kendraya,kandy
157,eliya seetha,doovili ella neluwa,arana sandaraja wana,forest kanneliya national rain reserve,aquarium water world
158,art gallery national of,art centre lionel wendt,arts centre nelung,ambalangoda,kandy
159,anuradhapura,archaeological mihintale museum,colombo,ancient city polonnaruwa,potgul temple
160,beach mullaitivu,beach nilaveli,beach hambantota,beach kokkilai,beach unawatuna
161,centre cultural kandyan,kumana national park,colombo,national park somawathiya,polonnaruwa
162,dutch fort galle,haputale,church dutch matara reformed,church marys st,deliwala kota temple vehera
163,kandalama,dambulla,hot maha oya springs water,hot madunagala spring water,hot jayanthi spring wewa
164,haliela lanka sri,eliya nuwara,kandy,haputale,devon falls
165,kandy,art gallery national of,kadugannawa lions mouth rock,belihuloya,art centre lionel wendt
166,anawilundawa wetland,bird tower watching,pinnawala,udawalawa,bundala national park
167,arana sandaraja wana,aquarium water world,bentota ganga,hundukata,ganga madu
168,kandalama,dambulla,hot maha oya springs water,hot madunagala spring water,anawilundawa wetland
169,hot kanniya springs water,hot maha oya springs water,hot madunagala spring water,kandalama,anawilundawa wetland
170,botanic dry gardens hambantota zone,lunuganga,botanic gardens peradeniya royal,botanical gardens seethawaka wet zone,park ranmasu royal uyana
171,point turtle watching,ambalangoda,and centre conservation hasselblad research sea turtle victor,habaraduwa hatchery sea turtle,rekawa turtle watch
172,galle,diyagala escape,auslink hotel lanka sri walapane,beach kokkilai,sigiriya
173,tangalle,ahangama,marakolliya,beach marakolliya,point rillamba surf
174,arts crafts sunflower,ambalangoda,polonnaruwa,jana kala kendraya,kandy
175,camping heyna site,art gallery national of,art centre lionel wendt,blue camping moon,belihuloya
176,eliya seetha,botanic dry gardens hambantota zone,doovili ella neluwa,forest kanneliya national rain reserve,lunuganga
177,kumana national park,neithal park,colombo,national park wasgamuwa,national park somawathiya
178,centre cultural kandyan,negombo,beach koggala,kumana national park,colombo
179,thuparamaya,hatadage,potgul temple,batticaloa dutch fort,fort frederick
180,explorers mirissa whale,kitulgala,marakolliya,anuradhapura,uppuveli
181,kandy,art gallery national of,art centre lionel wendt,arts centre nelung,haliela lanka sri
182,golden mountain narangala,knuckles,dutch fort galle,parakrama samudraya,kingdom panduwasnuwara
183,botanic dry gardens hambantota zone,lunuganga,independence memorial museum,botanic gardens peradeniya royal,park ranmasu royal uyana
184,archaeological mihintale museum,anuradhapura,ancient city polonnaruwa,colombo,lahugala magul maha viharaya
185,arana sandaraja wana,centre cultural kandyan,aquarium water world,bentota ganga,hundukata
186,kitulgala,city colombo port,lagoon umari,negombo,kalpitiya lagoon
187,arts centre nelung,arts crafts sunflower,centre cultural kandyan,polonnaruwa,folk martin museum wickramasinghe
188,golden mountain narangala,centre cultural kandyan,beach okanda,mirissa,knuckles
189,explorers mirissa whale,arts crafts sunflower,ambalangoda,marakolliya,uppuveli
190,hot kanniya springs water,hot maha oya springs water,hot madunagala spring water,golden mountain narangala,kandalama
191,hot kanniya springs water,hot maha oya springs water,hot madunagala spring water,eliya seetha,doovili ella neluwa
192,kandalama,dambulla,hot maha oya springs water,hot madunagala spring water,bowatenna reservoir
193,art gallery national of,art centre lionel wendt,arts centre nelung,kandy,galle
194,botanic dry gardens hambantota zone,lunuganga,botanic gardens peradeniya royal,botanical gardens seethawaka wet zone,park ranmasu royal uyana
195,camping heyna site,blue camping moon,belihuloya,meemure,arana sandaraja wana
196,ambalangoda,arts crafts sunflower,point turtle watching,polonnaruwa,kandy
197,haliela lanka sri,eliya nuwara,kandy,haputale,devon falls
198,sunsetisland,center conservation forest makandawa makandawa,lagoon negombo,ganga madu,folk martin museum wickramasinghe
199,hot kanniya springs water,hot maha oya springs water,hot madunagala spring water,galle,anuradhapura
200,bird tower watching,anawilundawa wetland,parakrama samudraya,kumana national park,bird bird ecotourism kalametiya sanctuary watching
201,udawalawa,pinnawala,anuradhapura,archaeological mihintale museum,elephant park
202,hot kanniya springs water,hot madunagala spring water,hot maha oya springs water,botanic dry gardens hambantota zone,bolgoda lake
203,kandalama,anuradhapura,archaeological mihintale museum,dambulla,hot maha oya springs water
204,boat center coral issue sanctuary ticket,centre cultural kandyan,island pigeon,koggala,hikkaduwa
205,arana sandaraja wana,bentota ganga,aquarium water world,ganga madu,anawilundawa wetland
206,point turtle watching,ambalangoda,pinnawala,habaraduwa hatchery sea turtle,and centre conservation hasselblad research sea turtle victor
207,bolgoda lake,tangalle,ahangama,beach mandathivu,beach kiranchi
208,eliya seetha,doovili ella neluwa,bolgoda lake,forest kanneliya national rain reserve,beach mandathivu
209,sunsetisland,center conservation forest makandawa makandawa,city colombo port,botanical gardens seethawaka wet zone,lagoon negombo
210,kadugannawa lions mouth rock,belihuloya,pidurangala rock,peacocks rock,beach kiranchi
211,dhanaja gem museum,independence memorial museum,museum paduwasnuwara,folk martin museum wickramasinghe,kandy museum national
212,city colombo tour,centre city kandy,city colombo port,colombo,kandalama
213,galle,diyagala escape,auslink hotel lanka sri walapane,beach kokkilai,sigiriya
214,centre cultural kandyan,polonnaruwa,gangaramaya temple,folk martin museum wickramasinghe,dalada maligawa sri
215,anuradhapura,archaeological mihintale museum,colombo,mirissa,harbour trincomalee
216,belihuloya,camping heyna site,kadugannawa lions mouth rock,pidurangala rock,blue camping moon
217,udawalawa,pinnawala,elephant park,bay pearl,elephant orphanage pinnawala
218,art gallery national of,art centre lionel wendt,arts centre nelung,kandy,by cinnamon hikka tranz
219,galle,anuradhapura,ancient city polonnaruwa,colombo,polonnaruwa
220,udawalawa,pinnawala,golden mountain narangala,elephant park,bay pearl
221,kandy,haliela lanka sri,eliya nuwara,centre cultural kandyan,haputale
222,arana sandaraja wana,aquarium water world,bentota ganga,hundukata,ganga madu
223,anuradhapura,archaeological mihintale museum,colombo,ancient city polonnaruwa,potgul temple
224,haliela lanka sri,eliya nuwara,kandy,haputale,devon falls
225,art gallery national of,art centre lionel wendt,arts centre nelung,boat center coral issue sanctuary ticket,kandy
226,arts centre nelung,arts crafts sunflower,church marys st,dutch fort galle,nelum pokuna theatre
227,hot kanniya springs water,hot maha oya springs water,hot madunagala spring water,udawalawa,pinnawala
228,bird tower watching,anawilundawa wetland,kumana national park,bird bird ecotourism kalametiya sanctuary watching,bird sanctuary vankalai
229,deliwala kota temple vehera,gangaramaya temple,dalada maligawa sri,manelwatta temple,dewalaya kataragama maha ruhunu
230,arts centre nelung,arts crafts sunflower,bolgoda lake,beach mandathivu,beach kiranchi
231,galle,bird tower watching,anawilundawa wetland,kumana national park,bird bird ecotourism kalametiya sanctuary watching
232,kandalama,sigiriya,anuradhapura,national park wasgamuwa,arches bridge nine
233,arts crafts sunflower,polonnaruwa,ambalangoda,jana kala kendraya,kandy
234,negombo,kalpitiya,trincomalee,by cinnamon hikka tranz,kitulgala
235,kandalama,dambulla,hot maha oya springs water,mirissa,harbour trincomalee
236,anuradhapura,ancient city polonnaruwa,archaeological mihintale museum,colombo,galle
237,anawilundawa wetland,negombo,beach koggala,national park wasgamuwa,angammedilla national park
238,anuradhapura,galle,ancient city polonnaruwa,polonnaruwa,colombo
239,arugam bay beach,eco elephant hurulu park safari wild,angammedilla national park,chariot path,maha single swarnagiri temple tree viharaya
240,anuradhapura,archaeological mihintale museum,ancient city polonnaruwa,colombo,potgul temple
241,galle,anuradhapura,ancient city polonnaruwa,mirissa,harbour trincomalee
242,manelwatta temple,isurumuniya temple,deliwala kota temple vehera,duwa parewi temple,island parappudva temple
243,ambalangoda,point turtle watching,uppuveli,and centre conservation hasselblad research sea turtle victor,beach rekawa
244,ambalangoda,arts centre nelung,point turtle watching,and centre conservation hasselblad research sea turtle victor,arts crafts sunflower
245,point turtle watching,ambalangoda,and centre conservation hasselblad research sea turtle victor,beach koggala,habaraduwa hatchery sea turtle
246,sunsetisland,center conservation forest makandawa makandawa,lagoon negombo,ganga madu,sanctuary tissa wirawila
247,art gallery national of,art centre lionel wendt,arts centre nelung,galle,kandy
248,kandy,centre cultural kandyan,lanka planetarium sri,city colombo tour,eliya nuwara
249,kadugannawa lions mouth rock,belihuloya,pidurangala rock,peacocks rock,beach nilaveli
250,arana sandaraja wana,centre cultural kandyan,aquarium water world,bentota ganga,hundukata
251,kadugannawa lions mouth rock,belihuloya,pidurangala rock,peacocks rock,fortress rock yapahuwa
252,arts crafts sunflower,ambalangoda,polonnaruwa,haputale,jana kala kendraya
253,art gallery national of,art centre lionel wendt,anuradhapura,archaeological mihintale museum,arts centre nelung
254,galle,centre cultural kandyan,polonnaruwa,beach okanda,gangaramaya temple
255,arts crafts sunflower,ambalangoda,polonnaruwa,jana kala kendraya,kandy
256,anuradhapura,archaeological mihintale museum,botanic dry gardens hambantota zone,dehiwala gardens zoological,lunuganga
257,eliya seetha,doovili ella neluwa,forest kanneliya national rain reserve,belihuloya,dhushan ella
258,bolgoda lake,tangalle,ahangama,beach mandathivu,beach kiranchi
259,folk martin museum wickramasinghe,51 prasadaya sathmahal,dalada maligawa sri,centre cultural kandyan,gangaramaya temple
260,harbour trincomalee,by cinnamon hikka tranz,mirissa,independence memorial museum,kitulgala
261,anuradhapura,archaeological mihintale museum,campaign diggala side,colombo,ancient city polonnaruwa
262,art gallery national of,art centre lionel wendt,arts centre nelung,boat center coral issue sanctuary ticket,kandy
263,arts centre nelung,arts crafts sunflower,mirissa,harbour trincomalee,campaign diggala side
264,udawalawa,pinnawala,elephant park,bay pearl,elephant orphanage pinnawala
265,beach kalpitiya kudawa,beach nilaveli,beach hambantota,beach kiranchi,beach sayansi
266,kumana national park,neithal park,colombo,national park wasgamuwa,national park somawathiya
267,dhanaja gem museum,independence memorial museum,museum paduwasnuwara,folk martin museum wickramasinghe,buddhist international museum
268,hot kanniya springs water,hot maha oya springs water,hot madunagala spring water,kandalama,lanka planetarium sri
269,boat center coral issue sanctuary ticket,island pigeon,koggala,hikkaduwa,beach hikkaduwa
270,hot kanniya springs water,hot maha oya springs water,hot madunagala spring water,kandalama,hot jayanthi spring wewa
271,city colombo tour,sigiriya,centre city kandy,city colombo port,colombo
272,galle,ancient city polonnaruwa,anuradhapura,colombo,potgul temple
273,kitulgala,point turtle watching,ambalangoda,and centre conservation hasselblad research sea turtle victor,habaraduwa hatchery sea turtle
274,pinnawala,bird tower watching,anawilundawa wetland,udawalawa,kumana national park
275,sunsetisland,center conservation forest makandawa makandawa,lagoon negombo,ganga madu,boat dolphin kalpitiya trip watching
276,arts centre nelung,arts crafts sunflower,botanic dry gardens hambantota zone,lunuganga,park ranmasu royal uyana
277,beach kiranchi,beach mandathivu,beach okanda,beach nilaveli,beach hambantota
278,galle,ambalangoda,uppuveli,bird tower watching,boat dolphin kalpitiya trip watching
279,parakrama samudraya,dutch fort galle,kingdom panduwasnuwara,monument of victory,haputale
280,adams pada peak sri,dewalaya kataragama maha ruhunu,dalada maligawa sri,arankale buddhist monastery,anuradhapura
281,udawalawa,pinnawala,point turtle watching,ambalangoda,elephant park
282,hot kanniya springs water,hot maha oya springs water,hot madunagala spring water,by cinnamon hikka tranz,haputale
283,kitulgala,city colombo port,lanka planetarium sri,kandy,mirissa
284,campaign diggala side,arana sandaraja wana,chariot path,anawilundawa wetland,gala lissana
285,eliya seetha,doovili ella neluwa,galle,bolgoda lake,anuradhapura
286,explorers mirissa whale,marakolliya,uppuveli,beach marakolliya,lanka planetarium sri
287,ambalangoda,uppuveli,bird tower watching,boat dolphin kalpitiya trip watching,anawilundawa wetland
288,kitulgala,pinnawala,udawalawa,city colombo port,lagoon umari
289,national park wasgamuwa,national park yala,mirissa,harbour trincomalee,anawilundawa wetland
290,kumana national park,national park wasgamuwa,minneriya national park,anawilundawa wetland,national park yala
291,hot kanniya springs water,hot maha oya springs water,hot madunagala spring water,kandy,haliela lanka sri
292,hot kanniya springs water,hot maha oya springs water,hot madunagala spring water,beach nilaveli,beach hambantota
293,dutch fort galle,parakrama samudraya,haputale,51 prasadaya sathmahal,kingdom panduwasnuwara
294,kitulgala,botanic dry gardens hambantota zone,lunuganga,botanic gardens peradeniya royal,botanical gardens seethawaka wet zone
295,beach nilaveli,beach hambantota,beach kiranchi,beach kalpitiya kudawa,beach pasikuda
296,galle,art gallery national of,art centre lionel wendt,arts centre nelung,kandy
297,independence memorial museum,dhanaja gem museum,museum paduwasnuwara,folk martin museum wickramasinghe,buddhist international museum
298,hot kanniya springs water,hot maha oya springs water,hot madunagala spring water,camping heyna site,blue camping moon
299,hot kanniya springs water,hot maha oya springs water,hot madunagala spring water,kandalama,anawilundawa wetland
300,dutch fort galle,parakrama samudraya,haputale,kingdom panduwasnuwara,colombo
301,kandy,art gallery national of,polonnaruwa,ambalangoda,art centre lionel wendt
302,centre cultural kandyan,dewalaya kataragama maha ruhunu,polonnaruwa,arankale buddhist monastery,dalada maligawa sri
303,arts crafts sunflower,ambalangoda,polonnaruwa,jana kala kendraya,kandy
304,haliela lanka sri,bolgoda lake,eliya nuwara,kandy,haputale
305,kitulgala,galle,ancient city polonnaruwa,city colombo port,colombo
306,arts centre nelung,arts crafts sunflower,polonnaruwa,anuradhapura,folk martin museum wickramasinghe
307,kadugannawa lions mouth rock,belihuloya,pidurangala rock,peacocks rock,box pettigala stone
308,art gallery national of,art centre lionel wendt,arts centre nelung,arana sandaraja wana,kandy
309,manelwatta temple,deliwala kota temple vehera,duwa parewi temple,island parappudva temple,isurumuniya temple
310,arts crafts sunflower,ambalangoda,polonnaruwa,jana kala kendraya,kandy
311,dutch fort galle,kandalama,sigiriya,anuradhapura,haputale
312,kandy,art gallery national of,art centre lionel wendt,arts centre nelung,jaffna library public
313,arts centre nelung,arts crafts sunflower,lanka planetarium sri,kandy,eliya nuwara
314,galle,bird tower watching,anawilundawa wetland,kumana national park,bird bird ecotourism kalametiya sanctuary watching
315,hot kanniya springs water,hot maha oya springs water,hot madunagala spring water,eliya seetha,doovili ella neluwa
316,haliela lanka sri,eliya nuwara,kandy,haputale,devon falls
317,udawalawa,explorers mirissa whale,pinnawala,marakolliya,elephant park
318,mirissa,harbour trincomalee,beach okanda,and centre conservation hasselblad research sea turtle victor,habaraduwa hatchery sea turtle
